detector,descriptor,frameindex,ttc_lidar,ttc_camera
ORB,BRIEF,11,11.3061,4.4173
ORB,BRIEF,12,9.44414,4.54741
ORB,BRIEF,13,9.22307,5.18528
ORB,BRIEF,14,10.9678,6.39678
ORB,BRIEF,15,8.09422,5.65346
ORB,BRIEF,16,8.81392,5.72887
ORB,BRIEF,17,10.2926,5.46793
ORB,BRIEF,18,8.30978,3.64908
ORB,ORB,1,12.9722,6.48913
ORB,ORB,2,12.264,7.27952
ORB,ORB,3,16.963,4.64312
ORB,ORB,4,12.4855,2.83612
ORB,ORB,5,13.2465,4.13293
ORB,ORB,6,7.14812,10.7903
ORB,ORB,7,34.3404,12.8174
ORB,ORB,8,28.9577,10.3463
ORB,ORB,9,12.2426,10.5332
ORB,ORB,10,13.7297,11.0419
ORB,ORB,11,11.3061,5.7485
ORB,ORB,12,9.44414,10.0944
ORB,ORB,13,9.22307,7.72602
ORB,ORB,14,10.9678,6.94647
ORB,ORB,15,8.09422,10.4804
ORB,ORB,16,8.81392,4.94286
ORB,ORB,17,10.2926,5.25746
ORB,ORB,18,8.30978,5.20943
ORB,FREAK,1,12.9722,4.55168
ORB,FREAK,2,12.264,4.35694
ORB,FREAK,3,16.963,4.75179
ORB,FREAK,4,12.4855,2.34904
ORB,FREAK,5,13.2465,1.51091
ORB,FREAK,6,7.14812,5.53688
ORB,FREAK,7,34.3404,6.12596
ORB,FREAK,8,28.9577,7.38783
ORB,FREAK,9,12.2426,5.93681
ORB,FREAK,10,13.7297,7.54342
ORB,FREAK,11,11.3061,4.77076
ORB,FREAK,12,9.44414,4.8041
ORB,FREAK,13,9.22307,3.89436
ORB,FREAK,14,10.9678,6.04755
ORB,FREAK,15,8.09422,6.69905
ORB,FREAK,16,8.81392,3.96822
ORB,FREAK,17,10.2926,4.72889
ORB,FREAK,18,8.30978,2.36402
AKAZE,AKAZE,1,12.9722,10.3711
AKAZE,AKAZE,2,12.264,11.7006
AKAZE,AKAZE,3,16.963,10.4416
AKAZE,AKAZE,4,12.4855,11.9094
AKAZE,AKAZE,5,13.2465,10.7473
AKAZE,AKAZE,6,7.14812,11.6396
AKAZE,AKAZE,7,34.3404,12.9319
AKAZE,AKAZE,8,28.9577,11.6736
AKAZE,AKAZE,9,12.2426,10.662
AKAZE,AKAZE,10,13.7297,10.6455
AKAZE,AKAZE,11,11.3061,10.6768
AKAZE,AKAZE,12,9.44414,9.14485
AKAZE,AKAZE,13,9.22307,9.38677
AKAZE,AKAZE,14,10.9678,8.24143
AKAZE,AKAZE,15,8.09422,7.85647
AKAZE,AKAZE,16,8.81392,8.60816
AKAZE,AKAZE,17,10.2926,8.04322
AKAZE,AKAZE,18,8.30978,7.89652
